cell	umap1	umap2
cell_57	-0.38035956	6.4713254
cell_58	4.1392436	3.9644654
cell_59	14.117353	11.005486
cell_6	14.061602	10.2943945
cell_60	14.095272	11.711096
cell_61	0.27268484	3.5057302
cell_62	-2.8830142	8.206265
cell_63	13.440792	12.04863
cell_64	-0.13997293	5.5975637
cell_65	15.163407	7.832101
cell_66	3.430312	4.1578665
cell_67	-2.333193	8.272307
cell_68	-0.20372997	6.0233865
cell_69	13.219799	11.892331
cell_7	12.856387	10.910277
cell_70	13.732535	10.240113
cell_71	12.6797495	11.452323
cell_72	-0.8234093	8.773
cell_73	12.84545	11.847083
cell_74	14.142059	9.886685
cell_75	13.060566	11.091823
cell_76	3.3651338	4.387077
cell_77	-2.718547	7.916998
cell_78	13.685998	8.534399
cell_79	0.30946755	5.305957
cell_8	-0.6307849	7.270604
cell_80	0.519273	4.744965
cell_81	0.4094841	5.0210447
cell_82	13.70749	11.161936
cell_83	0.2855441	4.0928807
cell_84	13.640415	11.735426
cell_85	14.246409	10.645461
cell_86	12.715419	10.847537
cell_87	-1.1577283	5.076542
cell_88	13.664112	8.447181
cell_89	-3.135786	7.680218
cell_9	-2.6199608	7.3892546
cell_90	15.3305435	7.8469367
cell_91	0.23443316	5.068422
cell_92	-0.12086233	7.863395
cell_93	-0.9918114	8.760114
cell_94	14.882001	7.747662
cell_95	3.981964	4.074621
cell_96	-0.48664814	4.613284
cell_97	12.974499	11.449237
cell_98	-0.31381994	8.180772
cell_99	15.040093	10.9570055
